5 60
#i	F	nC	a	b	x	y	out
0	0	5	41	18467	1	2	
1	4	4	6334	26500	0	1	
2	7	3	19169	15724	4	3	0
3	10	3	11478	29358	4	3	0
4	13	3	26962	24464	0	2	
5	16	3	5705	28145	1	4	
6	18	2	23281	16827	2	4	
7	20	2	2995	11942	3	4	
8	21	1	4827	5436	4	2	1
9	22	1	32391	14604	1	3	
10	23	1	3902	153	1	2	
11	24	1	292	12382	1	3	
12	25	1	19718	19895	3	1	1
13	26	1	5447	21726	4	0	1
14	27	1	14771	11538	0	4	
15	28	1	1869	19912	3	4	
16	30	2	25667	26299	3	2	0
17	32	2	28703	23811	0	3	
18	33	1	17673	4664	4	3	1
19	34	1	25547	27644	2	4	
20	35	1	32662	32757	3	1	1
21	36	1	20037	12859	0	1	
22	37	1	27529	778	4	0	1
23	38	1	12316	3035	1	4	
24	40	2	22190	1842	0	3	
25	43	3	288	30106	2	4	
26	46	3	19264	22648	0	4	
27	49	3	27446	23805	4	1	0
28	52	3	15890	6729	0	1	
29	54	2	24370	15350	4	1	1
30	56	2	15006	31101	4	0	1
31	58	2	24393	3548	0	3	
32	59	1	19629	12623	1	0	1
33	60	1	24084	19954	4	3	1
34	61	1	18756	11840	4	1	1
35	62	1	4966	7376	2	1	1
36	63	1	16944	32439	1	2	
37	64	1	24626	11323	0	2	
38	65	1	5537	21538	0	3	
39	67	2	16118	2082	3	0	0
40	69	2	22929	16541	1	0	1
41	71	2	4833	31115	4	0	1
42	73	2	4639	29658	4	2	1
43	75	2	22704	9930	4	2	1
44	77	2	13977	2306	1	3	
45	78	1	31673	22386	0	2	
46	79	1	5021	28745	4	3	1
47	80	1	26924	19072	4	2	1
48	81	1	6270	5829	1	0	1
49	82	1	26777	15573	2	0	1
50	83	1	23986	13290	3	1	1
51	84	1	9161	18636	2	4	
52	85	1	22355	24767	3	0	1
53	86	1	23655	15574	1	3	
54	87	1	4031	12052	2	4	
55	88	1	27350	1150	3	2	1
56	89	1	13966	3430	4	1	1
57	90	1	15457	12287	4	2	1
58	91	1	27753	10383	3	2	1
59	92	1	32209	9758	1	4	
